spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,popularity
4267.142326,0.034413761,2552.1653,1919.065147,22.12936378,1.783397496,0.431019858,97
4093.146541,0.028650329,2849.980441,1980.773126,22.1339907,3.83441484,0.583869129,90
7117.917976,0.081312772,3598.820291,3579.283558,21.41761238,0.651148319,0.459240496,12
4863.714633,0.037000977,3386.422742,2397.641816,22.99789387,1.61204654,0.394431546,92
6829.395692,0.062598446,3729.085347,3276.218925,21.10200081,1.97904551,0.446827248,90
8338.413362,0.057973391,4239.237979,3710.070348,21.99971048,1.860027194,0.490023464,93
7759.400793,0.069943765,3868.428497,3530.290742,21.17777584,-2.514970183,0.384113416,97
6575.317752,0.060140937,3442.758616,3099.18354,20.30991574,5.072622776,0.479026347,12
5635.128774,0.030415245,3540.313326,2521.490503,21.10970701,3.276250124,0.547035158,98
6795.241758,0.063519361,3433.268556,3355.190309,21.71191351,1.982329965,0.513780445,95
5351.457611,0.050124919,3286.36545,2547.669639,21.05642531,-0.457835227,0.430360898,99
4225.307342,0.03450527,2805.715773,1990.424433,20.97862121,0.043654814,0.493640408,94
3691.012747,0.035034691,2615.344886,1860.981065,21.54484385,-0.790873945,0.448965594,91
5260.433198,0.057770248,2950.477478,2504.259842,20.46876693,0.9338817,0.439428717,13
3466.042499,0.0306747,2645.092413,1787.823082,22.15071485,0.77853924,0.45300734,11
8146.65877,0.07574672,4019.845722,3876.292709,21.16274468,0.8651492,0.576043695,96
8168.752022,0.066839028,4257.599472,3667.660868,21.61432647,-1.657880545,0.444544628,90
3152.788741,0.038235754,1975.775558,1613.184856,22.72412979,0.654160738,0.453707516,7
3668.656448,0.040900884,2701.046381,1990.29309,21.29994726,-0.150503874,0.43247278,99
6465.650977,0.048925348,3555.338771,2951.322001,20.77064053,1.742357433,0.474236533,92
6862.708603,0.057659699,3705.814785,3192.276419,21.15089859,-1.504971862,0.470540002,96
2318.490135,0.031240598,1754.709876,1255.633957,22.76746295,-5.98930645,0.428046465,8
