spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,tempo,rms,track_id
5435.903972335521,0.04966655473460498,3058.8171434489536,2566.536721587788,20.795973287195064,5.604729,0.48853174,144.23076923076923,0.25578442,07m8PuXxxv5J4qPEDq6ZkK
5304.39093419377,0.05603125401798834,2677.215184765936,2494.644082578764,22.04970539656265,2.497886,0.45164633,98.6842105263158,0.16133195,07TdcTMx1hzMh3jWXVdZT1
6092.717756526235,0.05865581686966916,3220.2011060141626,2843.8608271245444,20.335528729452623,2.6999207,0.49253893,95.33898305084746,0.1862284,07VBqWH6NG8L2ad3l84UKk
6800.449318997618,0.06058486098472777,3661.9736329760044,3088.246770952692,21.978475746565795,2.248091,0.43100652,140.625,0.18457668,0815caqt2Lytro5EIzMufT
11185.515105728136,0.11069719349006506,5060.497060753978,5215.37571777863,22.749914279001327,-0.11990694,0.48825178,100.44642857142857,0.12236905,087Hfvj80hJaJ7e15qKebK
4871.88274037379,0.04972695391662914,2822.887910673396,2443.702008194716,23.18808203895571,-11.764473,0.36799228,114.79591836734694,0.07900131,087sqrtgyTycoqUV4LzgHe
2214.5565369091614,0.01914317040702198,2333.9273854273515,1296.15099285715,22.226680292192945,-0.5739686,0.42921716,93.75,0.15736367,089n75HUWVpAYar5t2GwPn
2588.896707279457,0.015646688001233807,2101.7308001045676,1196.134094840769,21.255804125307804,1.5382236,0.53692794,86.53846153846153,0.1989353,08a3StAjIV2J1BbbqSOyKa
7539.261978436867,0.08045384486578183,3535.9962961637166,3586.073657308282,22.0608136927083,-0.73215944,0.41858906,95.33898305084746,0.28242368,08bNPGLD8AhKpnnERrAc6G
4722.189843656998,0.06806876230729932,2769.801266135831,2491.2025561937035,21.906933628329497,-13.358947,0.4143059,119.68085106382979,0.046335533,08feveJTNL1OMLSrdoHQ6Q
7893.504986244842,0.07193719373280605,3671.1847073720855,3542.215333961851,21.409138698156347,2.1598897,0.42913428,144.23076923076923,0.20859781,08HbvgCt7APoTp6Vmk7ho1
5638.784876375573,0.0553515099197681,2841.0205892180797,2708.4028679190496,22.1543792964187,-2.830371,0.4323427,95.33898305084746,0.21452332,08jXpbmBrMtXXAtXlHgsHh
4928.225531774633,0.039595502095785357,3047.4543898167335,2314.9154044425345,20.985190956344454,3.3169365,0.47871152,96.98275862068965,0.18202165,08kI60xFWphU3ZYkHX00io
5486.222472774923,0.03863308284247621,3206.302846459384,2405.691109155555,21.930843686178914,3.3462934,0.5411069,106.13207547169812,0.19590563,08kTa3SL9sV6Iy8KLKtGql
2585.02907681418,0.025519290508765467,2306.056416087662,1452.0825950749295,21.21637938654193,-0.91719306,0.3638275,58.59375,0.2547978,08MFgEQeVLF37EyZ7jcwLc
4384.727878244064,0.04287821770123934,2381.312048605506,2106.8490373855643,21.708807143165828,-8.0503645,0.38727757,144.23076923076923,0.10425158,08OjvLnGR3M0HUhcePeMNO
4055.377466620194,0.03778158974676926,2532.1018680382736,1994.8933183287966,19.916981912671023,3.783472,0.49401325,110.29411764705883,0.21557273,098WwIoAtjDQwcpuEHAlrr
6606.068211687553,0.05152025765651551,3448.458336401898,2874.740097758932,21.150930719117056,4.044157,0.44545895,133.92857142857142,0.29130074,09CtPGIpYB4BrO8qb1RGsF
1884.6307641236117,0.027634219579913084,1090.5149554312234,999.3721050697924,21.79557540379258,1.4473593,0.47159383,62.5,0.20325543,09IZGpkbdHfJS4g33j6ALr
4554.733050748636,0.03531554096797892,2749.906845508138,2090.572067583915,21.151358505118328,4.249777,0.42329398,133.92857142857142,0.30764857,09mEdoA6zrmBPgTEN5qXmN
2486.333955223881,0.027600883695362472,2131.7945231686394,1397.3453557935247,21.995705391727846,-4.9348783,0.33480266,110.29411764705883,0.13344292,09t3kwndNebf3RV8DZ5pw3
6077.583577643276,0.05311406515982599,3284.3291390986305,2793.570231266618,21.70083583467205,2.5043228,0.47895604,117.1875,0.18332113,09T8jYEV0b1z6tqghjTBZO
6340.238147497805,0.04924389998536728,3432.2760077439475,2791.0787818412614,21.654695706781418,2.622689,0.4734789,93.75,0.27633256,09vHbIezp9NP31CZWysk3v
5032.468309589461,0.04583321365655637,3555.1802136372735,2540.712646776267,21.162053898487127,0.66630286,0.49701822,70.3125,0.13474445,09z2Sw68BabiCQ4ZEKjPfu
